"filename", "language", "Swift", "JSON", "XML", "C++", "CMake", "Dart", "YAML", "Markdown", "HTML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"e:\Flutter_apps\neural_network\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"e:\Flutter_apps\neural_network\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Flutter_apps\neural_network\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 12, 68
"e:\Flutter_apps\neural_network\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\Flutter_apps\neural_network\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 34
"e:\Flutter_apps\neural_network\android\app\src\main\kotlin\com\example\neural_network\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"e:\Flutter_apps\neural_network\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\Flutter_apps\neural_network\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\Flutter_apps\neural_network\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\Flutter_apps\neural_network\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\Flutter_apps\neural_network\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\Flutter_apps\neural_network\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"e:\Flutter_apps\neural_network\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\Flutter_apps\neural_network\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\Flutter_apps\neural_network\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"e:\Flutter_apps\neural_network\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\Flutter_apps\neural_network\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Flutter_apps\neural_network\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Flutter_apps\neural_network\ios\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Flutter_apps\neural_network\ios\Runner\AppDelegate.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Flutter_apps\neural_network\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Flutter_apps\neural_network\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Flutter_apps\neural_network\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"e:\Flutter_apps\neural_network\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"e:\Flutter_apps\neural_network\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\Flutter_apps\neural_network\ios\Runner\Info.plist", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"e:\Flutter_apps\neural_network\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Flutter_apps\neural_network\lib\FindBestJob.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 15, 65
"e:\Flutter_apps\neural_network\lib\job.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\Flutter_apps\neural_network\lib\layer.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\Flutter_apps\neural_network\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 4, 24
"e:\Flutter_apps\neural_network\lib\neural_network.dart", "Dart", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 10, 18, 206
"e:\Flutter_apps\neural_network\lib\neuron.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 5, 17, 104
"e:\Flutter_apps\neural_network\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Flutter_apps\neural_network\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Flutter_apps\neural_network\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\Flutter_apps\neural_network\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Flutter_apps\neural_network\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Flutter_apps\neural_network\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Flutter_apps\neural_network\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"e:\Flutter_apps\neural_network\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Flutter_apps\neural_network\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Flutter_apps\neural_network\macos\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Flutter_apps\neural_network\macos\Runner\AppDelegate.swift", "Swift", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Flutter_apps\neural_network\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Flutter_apps\neural_network\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"e:\Flutter_apps\neural_network\macos\Runner\Info.plist", "XML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"e:\Flutter_apps\neural_network\macos\Runner\MainFlutterWindow.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Flutter_apps\neural_network\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 60, 15, 94
"e:\Flutter_apps\neural_network\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\Flutter_apps\neural_network\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"e:\Flutter_apps\neural_network\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\Flutter_apps\neural_network\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"e:\Flutter_apps\neural_network\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Flutter_apps\neural_network\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\Flutter_apps\neural_network\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\Flutter_apps\neural_network\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\Flutter_apps\neural_network\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\Flutter_apps\neural_network\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\Flutter_apps\neural_network\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\Flutter_apps\neural_network\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\Flutter_apps\neural_network\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\Flutter_apps\neural_network\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 52, 248, 602, 534, 37, 369, 22, 13, 38, 8, 101, 4, 306, 365, 2699